serial number,author,title
716,Joyce William,Miller Bukowski & Their Enemies
717,Kamstra Jerry,Frisco Kid
718,Kandel Lenore,Collected Poems Of Lenore Kandel
719,Kashner Sam,When I was Cool: My Life At The Jack Kerouac School
720,Katz Eliot,Poetry And Politics Of Allen Ginsberg
721,Katz Eliot,Radical Eyes: Political Poems And The Works Of Allen Ginsberg
722,Kaufman Alan ed.,Outlaw Bible Of American Essays
723,Kaufman Alan ed.,Outlaw Bible Of American Literature
724,Kaufman Alan ed.,Outlaw Bible Of American Poetry
725,Kaufman Bob,Ancient Rain: Poems 1956-1978
726,Kaufman Bob,Cranial Guitar: Selected Poems By Bob Kaufman
727,Kaufman Bob,Solitudes Crowded With Loneliness
728,Kaufman Philip,Henry & June
729,Kearney Patrick,Paris Olympia Press
730,Kealing Bob,Kerouac in Florida: Where the Road Ends
731,Kerouac Jack,And the hippos were boiled in their tanks
732,Kerouac Jack,Atop an Underwood: Early Stories and Other Writings
733,Kerouac Jack,Beat Generation
734,Kerouac Jack,Big Sur
735,Kerouac Jack,Big Sur
736,Kerouac Jack,Big Sur
737,Kerouac Jack,Blues And Haikus
738,Kerouac Jack,Book Of Blues
739,Kerouac Jack,Book of Dreams
740,Kerouac Jack,Book Of Haikus
741,Kerouac Jack,Book of Sketches  1952-57
742,Kerouac Jack,Collected Poems
743,Kerouac Jack,Departed Angels: The Lost Paintings
744,Kerouac Jack,Desolation Angels
745,Kerouac Jack,Desolation Angels
746,Kerouac Jack,Desolation Angels
747,Kerouac Jack,Dharma Bums
748,Kerouac Jack,Dharma Bums
749,Kerouac Jack,Dharma Bums
750,Kerouac Jack,Dharma Bums
751,Kerouac Jack,Dharma Bums
752,Kerouac Jack,Dharma Bums
753,Kerouac Jack,Dharma Bums
754,Kerouac Jack,Dharma Bums (50th Anniversary 
755,Kerouac Jack,Dr. Sax
756,Kerouac Jack,Dr. Sax
757,Kerouac Jack,Dr. Sax
758,Kerouac Jack,Doctor Sax and the Great World Snake
759,Kerouac Jack and Johnson Joyce,Door Wide Open: A Beat Love Affair in Letters 1957-1958
760,Kerouac Jack,Empty Phantoms : Interviews and Encounters With Jack Kerouac
761,Kerouac Jack,En El Camino
762,Kerouac Jack,Good Blonde & Others
763,Kerouac Jack,Haunted Life And Other Writings
764,Kerouac Jack,Heaven & Other Poems
765,Kerouac Jack,Hymn: God Pay For Me
766,Kerouac Jack & Ginsberg Allen,Jack Kerouac And Allen Ginsberg : The Letters
767,Kerouac Jack,Jack Kerouac - Beat Generation
768,Kerouac Jack,Jack Kerouac Collection [sound recording]
769,Kerouac Jack,Letters From Jack Kerouac To Ed White 1957-68
770,Kerouac Jack,Lonesome Traveler
771,Kerouac Jack,Maggie Cassidy
772,Kerouac Jack,Maggie Cassidy
773,Kerouac Jack,Mexico City Blues (242 Choruses)
774,Kerouac Jack,Mexico City Blues (242 Choruses)
775,Kerouac Jack,Old Angel Midnight
776,Kerouac Jack,On the Road
777,Kerouac Jack and Frshall Rose,On the Road: A Kinderguides Illustrated Learning Guide
778,Kerouac Jack,On the Road - 50th Anniversary 
779,Kerouac Jack,On the Road (40th Anniversary 
780,Kerouac Jack,On the Road: The Original Scroll
781,Kerouac Jack,Orpheus Emerged
782,Kerouac Jack and Allen Steve,Poetry For The Beat Generation
783,Kerouac Jack,Pomes All Sizes
784,Kerouac Jack,Pull My Daisy
785,Kerouac Jack,Road Novels 1957-1960
786,Kerouac Jack,San Francisco Blues
787,Kerouac Jack,Satori in Paris
788,Kerouac Jack,Satori in Paris and Pic
789,Kerouac Jack,Scattered Poems
790,Kerouac Jack,Scripture of the Golden Eternity
791,Kerouac Jack,Sea Is My Brother
792,Kerouac Jack,Some of the Dharma
793,Kerouac Jack,Subteraneans (The)
794,Kerouac Jack,Subteraneans (The) and Pic
795,Kerouac Jack,Town and the City
796,Kerouac Jack,Tristessa
797,Kerouac Jack,Trip Trap: Haiku On The Road
798,Kerouac Jack,Unknown Kerouac: Rare Unpublished & Newly Translated Writings
799,Kerouac Jack,Vanity Of Duluoz
800,Kerouac Jack,Visions of America
801,Kerouac Jack,Visions of Cody
802,Kerouac Jack,Visions of Cody
803,Kerouac Jack,Visions Of Cody Visions Of Gerard Big Sur
804,Kerouac Jack,Visions of Gerard
805,Kerouac Jack,Visions of Gerard
806,Kerouac Jack,Wake up : a life of the Buddha
807,Kerouac Jack,Windblown World: The Journals of Jack Kerouac 1946-1954
808,Kerouac Jack,Youre A Genius All The Time : Belief And Technique For Modern Prose
809,Kerouac Jan,Baby Driver
810,Kerouac Jan,Train Song
811,Kerouac Joan Haverty,Nobodys Wife: The Smart Aleck And The King Of The Beats
812,Kerouac-Parker Edie,Youll Be Okay : My Life with Jack Kerouac
813,Kesey Ken,Further Inquiry
814,Kesey Ken,Keseys Garage Sale
815,Kesey Ken,Keseys Jail Journal
816,Kesey Ken,Last Go Round
817,Kesey Ken,Magic Trip: Ken Keseys Search For A Kool Place
818,Kherdian David ed,Beat Voices: An Anthology of Beat Poetry
819,Kilbane Aimee,Exploring The Underworld At Home And Abroad: Bohemians And Tourism In Nineteenth-Century Paris And Beyond
820,Killion Tom & Snyder Gary,Californias Wild Edge: The Coast In Poetry Prints And History
821,Killion Tom & Snyder Gary,Tamalpais Walking : Poetry History And Print
822,Klonsky Milton,Discourse on Hip
823,Knepler Henry translator and editor,Man About Paris: Confessions of Arsene Housssaye
824,Knight Arthur and Kit ed,Beat Road
825,Knight Arthur & Kit,Beat Vision (The)
826,Knight Arthur & Kit editors,Kerouac and the Beats: Primary Sourcebook
827,Knight Brenda editor,Women of the Beat Generation
828,Knight Michael Muhammad,William S. Burroughs Vs The Quran
829,Kostelanetz Richard ed.,Avant-Garde Tradition In Literature
830,Kowalewski Michael,Temperamental Journeys: Essays on the Modern Literature Of Travel
831,Kramer Dale,Chicago Renaissance: Literary Life in the Midwest 1900-1930
832,Kramer Jane,Allen Ginsberg in America
833,Kraus Michelle P. ed,Allen Ginsberg: An Annotated Bibliography 1969-1977
834,Krokidas John,Kill Your Darlings
835,Krumhansl Aaron,Descriptive Bibliography of the Primary Publications of Charles Bukowski
836,Kushner-Locke Company And Tapestry Films,Last Time I Committed Suicide
837,Kyger Joanne,As Ever: Selected Poems
838,Kyger Joanne,Just Space: Poems 1979-1989
839,Kyger Joanne,On Time: Poems 2005-2014
840,La Fitte Anne-Gedeon,Bohemians
841,Laird Brandon Wade,When History Meets The Mass Media: The Beats In Postwar America
842,Lamantia Philip,Becoming Visible
843,Lamantia Philip,Bed Of Sphinxes New & Selected Poems 1943-1993
844,Lamantia Philip,Collected Poems Of Philip Lamantia
845,Lamantia Philip,Meadowlark West
846,Lamantia Philip,Selected Poems: 1943-1966
847,Lardas John,Bob Apocalypse : Religious Visions of Kerouac Ginsberg and Burroughs
848,Largely Literary,Jack Kerouac Journal
849,Larson Jonathan,Rent
850,Lattin Don,Harvard Psychedelic Club : how Timothy Leary Ram Dass Huston Smith and Andrew Weil killed the fifties and ushered in a new age for America    
851,Lauridsen Inger Thorup ed.,Beat Generation And The Russian New Wave
852,Lawlor William,The beat generation : a bibliographical teaching guide
853,Leary Timothy, Design For Dying
854,Leary Timothy,Psychedelic Experience: Manual Based On The Tibetan Book Of The Dead
855,Leary Timothy editors,Psychedelic Reader
856,Lee A. Robert ed.,Beat Generation Writers
857,Leland John,Hip: the History
858,Leland John,Why Kerouac Matters : the Lessons of On The Road (Theyre Not What You Think) 
859,Lenrow Elbert,Kerouac Ascending: Memorabilia Of The Decade Of On The Road
860,Lerner Richard,What Happened to Kerouac?
861,Leslie Alfred,Pull My Daisy
862,Leslie Alfred,Pull My Daisy
863,Levertov Denise,Poems 1968-1972
864,Levin Joanna,Bohemia In America: 1958-1920
865,Lewis Oscar,Bay Window Bohemia: Account of the Brilliant Artistic World of Gaslit San Francisco
866,Lipton Lawrence,Bruno In Venice West & Other Poems
867,Lipton Lawrence,Erotic Revolution
868,Lipton Lawrence,Holy Barbarians
869,Lloyd Richard,Neo-Bohemia: Art And Commerce In The Postindustrial City
870,Locklin Gerald,Charles Bukowski : A Sure Bet
871,Lombreglia Ralph,Jack Kerouac ROMnibus
872,London Jack,The Road
873,Long John,Drugs and the Beats : the role of drugs in the lives and writings of Kerouac
874,Lord Sterling,Lord Of Publishing: A Memoir
875,Lottman Herbert R.,Man Rays Montparnasse
876,Lowey Ian,Graphic Art Of The Underground: A Countercultural History
877,Luhan Mabel Dodge,Edge Of Taos Desert: An Escape To Reality
878,Luhan Mabel Dodge,History Of Having A Great Many Times Not Continued To Be Friends The Correspondence Between Mabel Dodge & Gertrude Stein 1911-1934
879,Luhan Mabel Dodge,Movers And Shakers Volume Three Of Intimate Memories
880,Lyke Patricia Phelan,Female Characters In Jack Kerouacs Fiction
881,MacAdams Lewis,Birth of the Cool: Beat Bebop and the American Avant-Garde
882,Maeck Klaus,William S. Burroughs : Commissioner of Sewers
883,Maffina Stefano,Role Of Jack Kerouacs Odentity In The Development Of His Poetics
884,Maher Paul,Burning Furiously Beautiful: The True Story Of Jack Kerouacs On The Road
885,Maher Paul Jr. ed,Empty Phantoms: Interviews and Encounters with Jack Kerouac
886,Maher Paul Jr.,Kerouac: the Definitive Biography
887,Maher Paul Jr.,Jack Kerouacs American Journey: The Real Life Odyssey Of On The Road
888,Mailer Norman,Genius and Lust
889,Mailer Norman,White Negro: Superficial Reflections on the Hipster
890,Malone Aubrey,Hunchback Of East Hollywood: A Biography Of Charles Bukowski
891,Mandel George,Beatville U.S.A.
892,Martin Jay,Always Merry & Bright: Life of Henry Miller
893,Martino John R.,Remember I Was The Movies: The Cinematic Prose Of William S. Burroughs
894,Maynard Joe,William S. Burroughs : a bibliography 1953-73 : Unlocking Inspector Lees Word Hoard
895,Maynard John Arthur,Venice West: Beat Generation in Southern California
896,Maynard John Arthur,Venice West: Beat Generation in Southern California
897,McClanahan Ed editor,Spit In The Ocean #7: All About Kesey
898,McClure Joanna,Catching Light: Collected Poems Of Joanna McClure
899,McClure Joanna,Wolf Eyes
900,McClure Michael,Adept
901,McClure Michael,Antechamber & Other Poems
902,McClure Michael,Beard & VKTMS: Two Plays
903,McClure Michael,Gargoyle Cartoons
904,McClure Michael,General Gorgeous
905,McClure Michael,Ghost Tantras
906,McClure Michael,Gorf Or Gorf And The Blind Dyke
907,McClure Michael,Hail Thee Who Pray
908,McClure Michael,Huge Dreams: San Francisco And Beat Poems
909,McClure Michael,Hymns To St. Geryon & Dark Brown
910,McClure Michael,Jaguar Skies
911,McClure Michael,Josephine: The Mouse Singer
912,McClure Michael,Lighting The Corners On Art Nuture and the Visionary
913,McClure Michael,Little Odes & The Raptors: Poems And A Play
914,McClure Michael,Love Lion Book
915,McClure Michael,Mammals
916,McClure Michael,Man of Moderation: Two Poems
917,McClure Michael,Meat Science Essays
918,McClure Michael,Mysteriosos And Other Poems
919,McClure Michael,New Book/A Book Of Torture
920,McClure Michael,Of Indigo And Saffron: New And Selected Poems
921,McClure Michael,Plum Stones: Cartoons Of No Heaven
922,McClure Michael,Poisoned Wheat
923,McClure Michael,Rain Mirror: New Poems
924,McClure Michael,Rare Angel
925,McClure Michael,Rebel Lions
926,McClure Michael,Scratching the Beat Surface
927,McClure Michael,Scratching the Beat Surface
928,McClure Michael,Selected Poems
929,McClure Michael,September Blackberries
930,McClure Michael,Star
931,McClure Michael,Touching the Edge: Dharma Devotions from the Hummingbird Sangha
932,McCook Kendall Clay,Jack Kerouac - A Social Reaction
933,McDarrah Fred W.,Kerouac & Friends: A Beat Generation Album
934,McDarrah Fred W. & Gloria S.,Beat Generation: Glory Days in Greenwich Village
935,McFarland Gerald W.,Inside Greenwich Village: A New York Neighborhood 1898-1918
936,McKee Jenn,Jack Kerouac
937,McNally Dennis,Desolate Angel: Jack Kerouac the Beat Generation and America
938,McNeil Katherine comp.,Gary Snyder: A Bibliography
939,McNeill Malcolm,Observed While Falling: Bill Burroughs Ah Pook And Me
940,McRaniels Daniel,Into The Fold: The Folded Narratives Of Henry Miller Djuna Barnes William S. Burroughs And J.G. Ballard   
941,Marten Harry,Understanding Denise Levertov
942,Martin Jay,Always Merry and Bright: Life of Henry Miller
943,Martin Justin,Rebel Souls: Walt Whitman And Americas First Bohemians
944,Meisler Stanley,Shocking Paris: Soutine CHagall And The Outsiders Of Montparnasse
945,Meltzer David,Beat Thing
946,Meltzer David editor,Birth: An Anthology Of Ancient Texts Songs Prayers And Stories
947,Meltzer David,Blue Rags
948,Meltzer David,Davids Copy
949,Meltzer David,Hero/Lil
950,Meltzer David,Isla Vista 
951,Meltzer David,Name: Selected Poetry 1973-1983
952,Meltzer David,No Eyes: Lester Young
953,Meltzer David editor,San Francisco Beat: Talking With The Poets
954,Meltzer David,Tens Selected Poems 1961-1971
955,Meltzer David,Two-Way Mirror: A Poetry Notebook
956,Meltzer David,When I Was A Poet
957,Meltzer David editor,Writing Jazz
958,Merrill Thomas F.,Allen Ginsberg
959,Micheline Jack,Sixty-Seven Poems for Towntrodden Saints
960,Miles Barry ed,Beat Collection
961,Miles Barry,Beat Hotel: Ginsberg Burroughs and Corso in Paris 1957-1963
962,Miles Barry,Call Me Burroughs: A Life
963,Miles Barry,Charles Bukowski
964,Miles Barry,Ginsberg: A Biography
965,Miles Barry,Ginsberg: A Biography
966,Miles Barry,Jack Kerouac: King of the Beats: A Portrait
967,Miles Barry,London Calling: A Countercultural History Of London Since 1945
968,Miles Barry,William Burroughs: El Hombre Invisible
969,Milewski Robert J.,Jack Kerouac: An Annotated Bibliography
970,Miller Henry,Air-Conditioned Nightmare (Volume 1)
971,Miller Henry,Air-Conditioned Nightmare
972,Miller Henry,Aller Retour New York
973,Miller Henry,Amazing And Invariable Beauford DeLaney
974,Miller Henry,Big Sur and the Oranges of Hieronymus Bosch
975,Miller Henry,Black Spring
976,Miller Henry,Books in My Life
977,Miller Henry,Book of Friends
978,Miller Henry,Collectors Quest: The Correspondence Of Henry Miller And J. Rives Childs 1947-1965
979,Miller Henry,Colossus of Maroussi
980,Miller Henry,Complete Book of Friends
981,Miller Henry,Conversations with Henry Miller
982,Miller Henry,Cosmological Eye
983,Miller Henry,Crazy Cock
984,Miller Henry,Dear Dear Brenda
985,Miller Henry,Devil in Paradise
986,Miller Henry,Folio I and Folio II
987,Miller Henry,From Your Capricorn Friend: Henry Miller & the Stroker 1978-1980
988,Miller Henry,Greece
989,Miller Henry,Henry Miller and James Laughlin: Selected Letters
990,Miller Henry,Henry Miller on Writing
991,Miller Henry,Henry Miller: Stories Essays Travel Sketches
992,Miller Henry,Henry Miller Reader
993,Miller Henry,Henry Miller: Years of Trial and Triumph 1962-1964
994,Miller Henry,Henry Millers People
995,Miller Henry,In Conversation with Georges Belmont
996,Miller Henry,Insomnia or The Devil At Large
997,Miller Henry,Joey (Volume III Book of Friends)
998,Miller Henry,Just Wild About Harry
999,Miller Henry,Letters by Henry Miller to Hoki Tokuda Miller
1000,Miller Henry,Letters Of Henry Miller And Wallace Fowlie
1001,Miller Henry,Letters to Emil
1002,Miller Henry,Max and the White Phagocytes
1003,Miller Henry,Moloch or This Gentile World
1004,Miller Henry,My Bike & Other Friends (Volume II Book of Friends)
1005,Miller Henry,My Life and Times
1006,Miller Henry,Nexus Rosy Crucifixion III
1007,Miller Henry,Notes on Aarons Rod and other notes on Lawrence from the Paris notebooks
1008,Miller Henry,Nothing But The Marvelous: Wisdoms Of Henry Miller
1009,Miller Henry,On turning eighty ; Journey to an antique land ; foreword to The angel is my watermark
1010,Miller Henry,Opus Pistorum
1011,Miller Henry,Order and chaos chez Hans Reichel
1012,Miller Henry,Plexus
1013,Miller Henry,Plexus Rosy Crucifixion II
1014,Miller Henry,Quiet Days in Clichy
1015,Miller Henry,Rosy Crucifixion Book One Sexus V 4 & 5
1016,Miller Henry,Reflections On The Death Of Mishima
1017,Miller Henry,Remember To Remember: Vol 2 Of The Air-Conditioned Nightmare
1018,Miller Henry,Sextet
1019,Miller Henry,Sexus The Rosy Crucifixion Book I
1020,Miller Henry,Sexus The Rosy Crucifixion I
1021,Miller Henry,Smile at the Foot of the Ladder
1022,Miller Henry,Stand Still Like the Hummingbird
1023,Miller Henry,Sunday After The War
1024,Miller Henry,Time of the Assassin: A Study Of Rimbaud
1025,Miller Henry,To Paint Is To Love Again
1026,Miller Henry,Tropic of Cancer
1027,Miller Henry,Tropic of Cancer
1028,Miller Henry,Tropic of Cancer
1029,Miller Henry,Tropic of Capricorn
1030,Miller Henry,Tropic of Capricorn
1031,Miller Henry,Tropic of Capricorn
1032,Miller Henry,Under the Roofs of Paris
1033,Miller Henry,Wisdom of the Heart
1034,Miller Henry,World of Lawrence : a passionate appreciation
1035,Miller Henry,World of Sex
1036,Miller Joaquin,Selections from Joaquin Miller
1037,Miller John ed.l,White Rabbit: A Psychedelic Reader
1038,Miller Richard,Bohemia: The Protoculture Then and Now
1039,Miller Terry,Greenwich Village And How It Got That Way
1040,Mitchell Edward B. editor,Henry Miller: Three Decades Of Criticism
1041,Molesworth Charles,Gary Snyders Vision: Poetry and the Real Work
1042,Montgomery John,Jack Kerouac: A Memoir In Which Is Revealed Secret Lives & West Coast Whispers Being The Confessions Of Henry Morley Alex Fairbrother & John Montgomery Triune Madman of The Dharma Bums Desolation Angels & Other Trips
1043,Montgomery John  comp,Kerouac at the Wild Boar & Other Skirmishes
1044,Montgomery John  comp,Kerouac we knew : unposed portraits; action shots
1045,Montgomery John,Kerouac West Coast: A Bohemian Pilot Detailed Navigation Instructions
1046,Morgan Bill,Beat Atlas: A State By State Guide To The Beat Generation In America
1047,Morgan Bill,Beat Generation in New York: A Walking Tour of Jack Kerouacs City
1048,Morgan Bill,Beat Generation in New York: A Walking Tour of Jack Kerouacs City
1049,Morgan Bill,Beats Abroad: A Global Guide To The Beat Generation
1050,Morgan Bill editors,Best Minds: A Tribute to Allen Ginsberg
1051,Morgan Bill editors,Howl on Trial : The Battle for Free Expression
1052,Morgan Bill,I Celebrate Myself : The Somewhat Private Life of Allen Ginsberg
1053,Morgan Bill,Response to Allen Ginsberg 1926-1994 : A Bibliography of Secondary Sources
1054,Morgan Bill,Typewriter Is Holy : The Complete Uncensored History of the Beat Generation
1055,Morgan Bill,Works of Allen Ginsberg 1941-1994 ; A Descriptive Bibliography
1056,Morgan Ted,Literary Outlaw: Life & Times of William S. Burroughs
1057,Morley Christopher,Seacoast of Bohemia
1058,Morris Wright,Huge Season
1059,Morrow W. C.,Bohemian Paris To-day
1060,Moscheles Felix,In Bohemia with Du Maurier
1061,Moscheles Felix,In Bohemia with Du Maurier
1062,Moss Arthur & Marvel Evalyn,Legend of the Latin Quarter: Henry Murger and the Birth of Bohemia
1063,Murger Henri,La Boheme: Scenes de la vie de Boheme
1064,Murger Henri,Bohemians of the Latin Quarter
1065,Murger Henri,Latin quarter: Scenes de la vie de Boheme translated by Elizabeth Ward Hugus
1066,Murphy Patrick D.,Understanding Gary Snyder
1067,Myrsiades Kostas editor,Beat Generation: Critical Essays
1068,Nalbantian Suzanne ed.,Anaïs Nin: Literary Perspectives
1069,Nelson Jane A.,Form and Image in the Fiction of Henry Miller
1070,Nelson Kenneth J.,Mythic Elements Of On The Road
1071,Nelson Raymond,Kenneth Patchen and American Mysticism
1072,Nevill Ralph,Days And Nights In Montmartre & The Latin Quarter
1073,Newhouse Thomas,Beat Generation And The Popular Novel In The United States 1945-1970
1074,Nicholson Virginia,Among the Bohemians: Experiments in Living 1900-1939
1075,Nicosia Gerald,Memory Babe: Critical Bio of Kerouac
1076,Nicosia Gerald,One And Only: The Untold Story Of On The Road And Lu Anne Henderson The Woman Who Started Jack Kerouac And Neal        Cassady On Their Journey
1077,Nicosia Gerald,One And Only: The Untold Story Of On The Road And Lu Anne Henderson The Woman Who Started Jack Kerouac And Neal Cassady On Their Journey
1078,Niemi Robert,Ultimate Illustrated Beats Chronology
1079,Nin Anaïs,Children Of The Albatross
1080,Nin Anaïs,Cities of the Interior
1081,Nin Anaïs,Conversations with Anaïs Nin
1082,Nin Anaïs,D.H. Lawrence: An Unprofessional Study
1083,Nin Anaïs,Delta of Venus
1084,Nin Anaïs,Diary of Anaïs Nin Vol 1 1931-1934
1085,Nin Anaïs,Diary of Anaïs Nin Volume 2 1934-1939
1086,Nin Anaïs,Diary of Anaïs Nin Vol 3 1939-1944
1087,Nin Anaïs,Diary of Anaïs Nin Vol 4 1944-1947
1088,Nin Anaïs,Diary of Anaïs Nin Vol 5 1947-1955
1089,Nin Anaïs,Diary of Anaïs Nin Volume 6 1955-1966
1090,Nin Anaïs,Diary of Anaïs Nin Volume 7 1966-1974
1091,Nin Anaïs,Four-Chambered Heart
1092,Nin Anaïs,Henry & June
1093,Nin Anaïs,Incest
1094,Nin Anaïs,In Favor of the Sensitive Man and other essays
1095,Nin Anaïs,Journals of Anaïs Nin Vol 2 1934-1939
1096,Nin Anaïs,Journals of Anais Nin Vol 4 1944-1947
